name,price,status,shipping,free_returns,items_sold
Size 4 - Nike LeBron 17 Monstars Sneakers NBA ASG 2020 CD5050-400 (Wear On Toe),2000,Pre-Owned,1665,False,False
Size 9.5 - Nike Lebron 11 Lazer Crimson Low  Lace Up Mid Top Basketball EUC,6548,Pre-Owned,999,False,False
Nike LeBron James XXI 21 Optimism Multicolor Sneakers HF5353-400 Men's Size 11,10500,New (Other),1495,False,False
Nike Men's Lebron XVII WTW What The Multi-Color CV8079-900 Basketball Shoes,21674,Brand New,1495,False,False
2022-2023 NBA Hoops Inserts *You Pick*,147199,Pre-Owned,0,False,False
LEBRON JAMES STICKER Basketball Los Angeles Lakers NBA Cavs Heat,200,Pre-Owned,0,False,False
2023/24 Phoenix Basketball cards 201-300 You Pick Up to 20% off Free Shipping!!,99259,Pre-Owned,0,False,False
"Nike Lebron 21 ‘Optimism’ Multi-Color Sneakers, Size 6.5Y / 8W BNIB HF6819-400",11999,Brand New,1495,False,False
Nike LeBron James NXXT Gen Lakers Court Purple Gold DR8784-500 Men's,10999,Brand New,1495,False,False
2007-08 Stadium Club Basketball Card Pick,991200,Pre-Owned,150,True,False
2023-24 Panini Phoenix Paragon LeBron James #14,284,Pre-Owned,299,False,False
Size 13 - Nike LeBron 20 The Debut 2022 no box,9000,Pre-Owned,1495,False,False
2023-24 TOPPS NOW Basketball Card Lebron James 40K Career Points #LJ-40K,1299,Pre-Owned,559,False,False
Bronny James Jr. 2024-25 Prizm Emergent Rookie Card No. 8 Los Angeles Lakers,299,Pre-Owned,125,False,False
Nike Lebron Witness 7 Basketball Shoes Light Bone Gray New Mens Size 13,7649,New (Other),0,True,False
New Listing,16900,Brand New,1495,False,False
Bronny James Jr. 2024-25 Donruss Net Marvels Rookie Card No. 11 Lakers,499,Pre-Owned,125,False,False
2019 Upper Deck Goodwin Champions VIP Prize Cards LeBron James #P-3,492,Pre-Owned,299,False,False
New Listing,5899,Pre-Owned,800,False,False
Nike Lebron XX 20 Four Hoursemen Basketball Sneakers Sesame DV9090-200 Mens Size,8997,Brand New,1495,False,False
Nike Lebron Soldier XIV Space Jam Hare Sneakers CK6024-001 Men's Size NEW,9495,New (Other),0,True,False
2017 Upper Deck Goodwin Champions Trading Card Pick,99300,Pre-Owned,150,True,False
Nike LeBron X Low ,12000,New (Other),1495,False,False
"NIKE LEBRON X 10 ""MIAMI DOLPHINS"" ATOMIC TEAL GREEN SZ 16 RARE! [541100-302]",29999,Brand New,1495,True,False
Size 9.5 - Nike LeBron 14 Low Dunkman,12000,Brand New,1495,False,False
Lebron James Vs Steph Curry Artist Signed Clash of The Titans Trading Card 2/10,1995,Brand New,570,False,False
"NIKE LEBRON X 10 ""MIAMI DOLPHINS"" ATOMIC TEAL GREEN SZ 16 RARE! [541100-302]",29999,Brand New,1495,True,False
"NIKE LEBRON X 10 ""VOLT"" VOLT-WOLF GREY-PURE PLATINUM SZ 10 RARE! [541100-700]",29999,Brand New,1495,True,False
2021-22 Select Basketball CONCOURSE HOBBY Complete Your Set You Pick Card 1-100,99299,Pre-Owned,0,False,False
2023-24 TOPPS NOW Basketball Card Lebron James 40K Career Points #LJ-40K,1299,Pre-Owned,559,False,False
2024-25 PANINI PRIZM Vets #1-300 COMPLETE YOUR SET $2 or 2 Card Minimum YOU PICK,99248,Pre-Owned,0,False,False
2024-25 Panini Donruss NBA Trading Cards Blaster Box 90 Card Exclusive,2988,Brand New,0,False,False
New Listing,1499,Pre-Owned,1008,False,False
NIKE Men’s LEBRON WITNESS VIII Basketball Shoes Sneakers NEW FB2239-500,5495,Brand New,1067,False,False
New Listing,2800,Pre-Owned,1200,False,False
New Listing,4915,Pre-Owned,2159,False,False
Nike LeBron Witness 5 Game Royal,1200,Pre-Owned,1620,False,False
Nike Zoom Lebron Nxxt Gen Tb Promo University Red-White Sz 14 [FN7092-600],9999,Brand New,1495,True,False
Nike Lebron XVIII Low Men's Sneaker Shoe Triple Black ,17500,Brand New,1495,False,False
Nike LeBron 20 Olive Green DV1193-901,25000,Brand New,1495,False,False
Mens Size 12 Nike Lebron XX 20 Four Hoursemen Basketball Shoes DV9090-200 Nby,11499,New (Other),0,False,False
